block,genotype,diet,bacteria,time_point,homogenate_volume_mL,dilution,plate_id,CFU_mL,CFU_fly
A,CS,2%,2698B,48,0.5,100,T48-2%-2,3.20E+02,1.60E+04
A,CS,2%,2698B,14,0.5,100,T14-2%-9,3.40E+02,1.70E+04
A,CS,2%,2698B,12,0.5,100,T12-2%-1,3.60E+02,1.80E+04
A,CS,2%,2698B,36,0.5,100,T36-2%-10,3.60E+02,1.80E+04
A,CS,2%,2698B,48,0.5,100,T48-2%-4,3.60E+02,1.80E+04
A,CS,2%,2698B,24,0.5,100,T24-2%-11,3.80E+02,1.90E+04
A,CS,2%,2698B,24,0.5,100,T24-2%-8,4.20E+02,2.10E+04
A,CS,16%,2698B,36,0.5,100,T36-16%-12,4.20E+02,2.10E+04
A,CS,2%,2698B,16,0.5,100,T16-2%-6,4.40E+02,2.20E+04
A,CS,2%,2698B,24,0.5,100,T24-2%-3,4.40E+02,2.20E+04
A,CS,2%,2698B,24,0.5,100,T24-2%-9,4.40E+02,2.20E+04
A,CS,2%,2698B,12,0.5,100,T12-2%-5,4.60E+02,2.30E+04
A,CS,2%,2698B,12,0.5,100,T12-2%-4,4.60E+02,2.30E+04
A,CS,16%,2698B,24,0.5,100,T24-16%-4,4.60E+02,2.30E+04
A,CS,2%,2698B,36,0.5,100,T36-2%-1,4.60E+02,2.30E+04
A,CS,2%,2698B,36,0.5,100,T36-2%-11,4.60E+02,2.30E+04
A,CS,16%,2698B,12,0.5,100,T12-16%-5,4.80E+02,2.40E+04
A,CS,16%,2698B,12,0.5,100,T12-16%-2,4.80E+02,2.40E+04
A,CS,2%,2698B,24,0.5,100,T24-2%-7,4.80E+02,2.40E+04
A,CS,2%,2698B,48,0.5,100,T48-2%-9,4.80E+02,2.40E+04
A,CS,16%,2698B,48,0.5,100,T48-16%-12,4.80E+02,2.40E+04
A,CS,16%,2698B,12,0.5,100,T12-16%-8,5.00E+02,2.50E+04
A,CS,16%,2698B,14,0.5,100,T14-16%-7,5.00E+02,2.50E+04
A,CS,16%,2698B,14,0.5,100,T14-16%-10,5.00E+02,2.50E+04
A,CS,2%,2698B,16,0.5,100,T16-2%-7,5.00E+02,2.50E+04
A,CS,16%,2698B,24,0.5,100,T24-16%-6,5.00E+02,2.50E+04
A,CS,2%,2698B,48,0.5,100,T48-2%-3,5.00E+02,2.50E+04
A,CS,2%,2698B,48,0.5,100,T48-2%-6,5.00E+02,2.50E+04
A,CS,2%,2698B,24,0.5,100,T24-2%-12,5.20E+02,2.60E+04
A,CS,2%,2698B,36,0.5,100,T36-2%-6,5.20E+02,2.60E+04
A,CS,2%,2698B,48,0.5,100,T48-2%-8,5.20E+02,2.60E+04
A,CS,16%,2698B,14,0.5,100,T14-16%-2,5.40E+02,2.70E+04
A,CS,16%,2698B,14,0.5,100,T14-16%-3,5.40E+02,2.70E+04
A,CS,16%,2698B,16,0.5,100,T16-16%-6,5.40E+02,2.70E+04
A,CS,2%,2698B,48,0.5,100,T48-2%-1,5.40E+02,2.70E+04
A,CS,16%,2698B,48,0.5,100,T48-16%-9,5.40E+02,2.70E+04
A,CS,16%,2698B,6,0.5,10,T6-16%-6,5.60E+02,2.80E+03
A,CS,16%,2698B,12,0.5,100,T12-16%-11,5.60E+02,2.80E+04
A,CS,16%,2698B,12,0.5,100,T12-16%-10,5.60E+02,2.80E+04
A,CS,2%,2698B,14,0.5,100,T14-2%-6,5.60E+02,2.80E+04
A,CS,2%,2698B,16,0.5,100,T16-2%-5,5.60E+02,2.80E+04
A,CS,2%,2698B,36,0.5,100,T36-2%-9,5.60E+02,2.80E+04
A,CS,2%,2698B,14,0.5,100,T14-2%-5,5.80E+02,2.90E+04
A,CS,2%,2698B,14,0.5,100,T14-2%-1,5.80E+02,2.90E+04
A,CS,16%,2698B,16,0.5,100,T16-16%-12,5.80E+02,2.90E+04
A,CS,2%,2698B,24,0.5,100,T24-2%-10,5.80E+02,2.90E+04
A,CS,2%,2698B,36,0.5,100,T36-2%-12,5.80E+02,2.90E+04
A,CS,16%,2698B,12,0.5,100,T12-16%-12,6.00E+02,3.00E+04
A,CS,16%,2698B,12,0.5,100,T12-16%-7,6.00E+02,3.00E+04
A,CS,16%,2698B,12,0.5,100,T12-16%-4,6.00E+02,3.00E+04
A,CS,2%,2698B,12,0.5,100,T12-2%-9,6.00E+02,3.00E+04
A,CS,16%,2698B,14,0.5,100,T14-16%-5,6.00E+02,3.00E+04
A,CS,16%,2698B,16,0.5,100,T16-16%-11,6.00E+02,3.00E+04
A,CS,2%,2698B,8,0.5,10,T8-2%-7,6.20E+02,3.10E+03
A,CS,16%,2698B,48,0.5,100,T48-16%-10,6.20E+02,3.10E+04
A,CS,2%,2698B,36,0.5,100,T36-2%-2,6.40E+02,3.20E+04
A,CS,2%,2698B,48,0.5,100,T48-2%-12,6.80E+02,3.40E+04
A,CS,16%,2698B,48,0.5,100,T48-16%-4,6.80E+02,3.40E+04
A,CS,16%,2698B,6,0.5,10,T6-16%-5,7.20E+02,3.60E+03
A,CS,2%,2698B,16,0.5,100,T16-2%-9,7.20E+02,3.60E+04
A,CS,16%,2698B,24,0.5,100,T24-16%-1,7.20E+02,3.60E+04
A,CS,2%,2698B,12,0.5,100,T12-2%-8,7.60E+02,3.80E+04
A,CS,16%,2698B,14,0.5,100,T14-16%-11,7.80E+02,3.90E+04
A,CS,2%,2698B,48,0.5,100,T48-2%-10,7.80E+02,3.90E+04
A,CS,16%,2698B,48,0.5,100,T48-16%-7,7.80E+02,3.90E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-10,8.00E+02,4.00E+03
A,CS,2%,2698B,8,0.5,10,T8-2%-8,8.00E+02,4.00E+03
A,CS,16%,2698B,14,0.5,100,T14-16%-1,8.20E+02,4.10E+04
A,CS,16%,2698B,36,0.5,100,T36-16%-10,8.20E+02,4.10E+04
A,CS,16%,2698B,36,0.5,100,T36-16%-11,8.20E+02,4.10E+04
A,CS,2%,2698B,8,0.5,10,T8-2%-3,8.40E+02,4.20E+03
A,CS,2%,2698B,16,0.5,100,T16-2%-12,8.40E+02,4.20E+04
A,CS,16%,2698B,16,0.5,100,T16-16%-5,8.40E+02,4.20E+04
A,CS,16%,2698B,16,0.5,100,T16-16%-7,8.40E+02,4.20E+04
A,CS,2%,2698B,16,0.5,100,T16-2%-3,9.00E+02,4.50E+04
A,CS,16%,2698B,14,0.5,100,T14-16%-8,9.20E+02,4.60E+04
A,CS,16%,2698B,16,0.5,100,T16-16%-1,9.20E+02,4.60E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-11,9.40E+02,4.70E+03
A,CS,2%,2698B,24,0.5,100,T24-2%-5,9.40E+02,4.70E+04
A,CS,16%,2698B,24,0.5,100,T24-16%-3,9.40E+02,4.70E+04
A,CS,16%,2698B,24,0.5,100,T24-16%-10,9.60E+02,4.80E+04
A,CS,16%,2698B,48,0.5,100,T48-16%-2,9.60E+02,4.80E+04
A,CS,2%,2698B,36,0.5,100,T36-2%-5,9.80E+02,4.90E+04
A,CS,16%,2698B,36,0.5,100,T36-16%-4,1.00E+03,5.00E+04
A,CS,2%,2698B,16,0.5,100,T16-2%-1,1.04E+03,5.20E+04
A,CS,16%,2698B,24,0.5,100,T24-16%-12,1.04E+03,5.20E+04
A,CS,16%,2698B,36,0.5,100,T36-16%-5,1.04E+03,5.20E+04
A,CS,16%,2698B,48,0.5,100,T48-16%-5,1.04E+03,5.20E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-6,1.08E+03,5.40E+03
A,CS,2%,2698B,8,0.5,10,T8-2%-6,1.08E+03,5.40E+03
A,CS,2%,2698B,36,0.5,100,T36-2%-8,1.08E+03,5.40E+04
A,CS,2%,2698B,8,0.5,10,T8-2%-1,1.10E+03,5.50E+03
A,CS,16%,2698B,36,0.5,100,T36-16%-9,1.10E+03,5.50E+04
A,CS,16%,2698B,24,0.5,100,T24-16%-2,1.12E+03,5.60E+04
A,CS,16%,2698B,12,0.5,100,T12-16%-3,1.14E+03,5.70E+04
A,CS,2%,2698B,36,0.5,100,T36-2%-4,1.14E+03,5.70E+04
A,CS,16%,2698B,6,0.5,10,T6-16%-9,1.16E+03,5.80E+03
A,CS,2%,2698B,8,0.5,10,T8-2%-12,1.16E+03,5.80E+03
A,CS,16%,2698B,10,0.5,10,T10-16%-2,1.16E+03,5.80E+03
A,CS,16%,2698B,48,0.5,100,T48-16%-8,1.16E+03,5.80E+04
A,CS,2%,2698B,8,0.5,10,T8-2%-10,1.18E+03,5.90E+03
A,CS,16%,2698B,48,0.5,100,T48-16%-3,1.20E+03,6.00E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-9,1.24E+03,6.20E+03
A,CS,2%,2698B,16,0.5,100,T16-2%-2,1.24E+03,6.20E+04
A,CS,2%,2698B,48,0.5,100,T48-2%-11,1.24E+03,6.20E+04
A,CS,16%,2698B,48,0.5,100,T48-16%-6,1.26E+03,6.30E+04
A,CS,2%,2698B,24,0.5,100,T24-2%-2,1.28E+03,6.40E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-5,1.30E+03,6.50E+03
A,CS,16%,2698B,6,0.5,10,T6-16%-11,1.32E+03,6.60E+03
A,CS,16%,2698B,8,0.5,10,T8-16%-11,1.32E+03,6.60E+03
A,CS,16%,2698B,16,0.5,100,T16-16%-8,1.34E+03,6.70E+04
A,CS,16%,2698B,36,0.5,100,T36-16%-2,1.36E+03,6.80E+04
A,CS,16%,2698B,6,0.5,10,T6-16%-8,1.38E+03,6.90E+03
A,CS,16%,2698B,6,0.5,10,T6-16%-4,1.38E+03,6.90E+03
A,CS,2%,2698B,10,0.5,10,T10-2%-2,1.38E+03,6.90E+03
A,CS,16%,2698B,16,0.5,100,T16-16%-3,1.40E+03,7.00E+04
A,CS,2%,2698B,8,0.5,10,T8-2%-11,1.44E+03,7.20E+03
A,CS,16%,2698B,24,0.5,100,T24-16%-11,1.44E+03,7.20E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-4,1.46E+03,7.30E+03
A,CS,16%,2698B,48,0.5,100,T48-16%-1,1.46E+03,7.30E+04
A,CS,16%,2698B,48,0.5,100,T48-16%-11,1.46E+03,7.30E+04
A,CS,2%,2698B,8,0.5,10,T8-2%-5,1.50E+03,7.50E+03
A,CS,16%,2698B,24,0.5,100,T24-16%-8,1.52E+03,7.60E+04
A,CS,16%,2698B,6,0.5,10,T6-16%-3,1.54E+03,7.70E+03
A,CS,16%,2698B,8,0.5,10,T8-16%-9,1.68E+03,8.40E+03
A,CS,16%,2698B,8,0.5,10,T8-16%-2,1.68E+03,8.40E+03
A,CS,16%,2698B,6,0.5,10,T6-16%-1,1.70E+03,8.50E+03
A,CS,2%,2698B,10,0.5,10,T10-2%-12,1.80E+03,9.00E+03
A,CS,16%,2698B,10,0.5,10,T10-16%-4,1.88E+03,9.40E+03
A,CS,2%,2698B,36,0.5,100,T36-2%-3,1.88E+03,9.40E+04
A,CS,16%,2698B,10,0.5,10,T10-16%-3,1.92E+03,9.60E+03
A,CS,2%,2698B,10,0.5,10,T10-2%-5,2.06E+03,1.03E+04
A,CS,2%,2698B,8,0.5,10,T8-2%-4,2.08E+03,1.04E+04
A,CS,2%,2698B,24,0.5,100,T24-2%-6,2.08E+03,1.04E+05
A,CS,2%,2698B,24,0.5,100,T24-2%-4,2.12E+03,1.06E+05
A,CS,16%,2698B,8,0.5,10,T8-16%-3,2.24E+03,1.12E+04
A,CS,2%,2698B,10,0.5,10,T10-2%-9,2.24E+03,1.12E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-3,2.28E+03,1.14E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-12,2.30E+03,1.15E+04
A,CS,16%,2698B,8,0.5,10,T8-16%-7,2.30E+03,1.15E+04
A,CS,16%,2698B,36,0.5,100,T36-16%-3,2.44E+03,1.22E+05
A,CS,2%,2698B,10,0.5,10,T10-2%-10,2.50E+03,1.25E+04
A,CS,16%,2698B,10,0.5,10,T10-16%-8,2.50E+03,1.25E+04
A,CS,16%,2698B,36,0.5,100,T36-16%-6,2.50E+03,1.25E+05
A,CS,16%,2698B,8,0.5,10,T8-16%-10,2.54E+03,1.27E+04
A,CS,2%,2698B,10,0.5,10,T10-2%-4,2.60E+03,1.30E+04
A,CS,16%,2698B,8,0.5,10,T8-16%-8,2.62E+03,1.31E+04
A,CS,16%,2698B,8,0.5,10,T8-16%-4,2.64E+03,1.32E+04
A,CS,2%,2698B,8,0.5,10,T8-2%-2,2.74E+03,1.37E+04
A,CS,2%,2698B,16,0.5,100,T16-2%-11,2.74E+03,1.37E+05
A,CS,16%,2698B,10,0.5,10,T10-16%-10,2.76E+03,1.38E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-8,2.92E+03,1.46E+04
A,CS,2%,2698B,10,0.5,10,T10-2%-7,2.94E+03,1.47E+04
A,CS,16%,2698B,8,0.5,10,T8-16%-1,3.00E+03,1.50E+04
A,CS,16%,2698B,10,0.5,10,T10-16%-1,3.04E+03,1.52E+04
A,CS,2%,2698B,8,0.5,10,T8-2%-9,3.06E+03,1.53E+04
A,CS,16%,2698B,0,0.5,1,T0-16%-7,3.08E+03,1.54E+03
A,CS,16%,2698B,6,0.5,10,T6-16%-7,3.10E+03,1.55E+04
A,CS,16%,2698B,6,0.5,10,T6-16%-12,3.18E+03,1.59E+04
A,CS,16%,2698B,8,0.5,10,T8-16%-6,3.20E+03,1.60E+04
A,CS,16%,2698B,10,0.5,10,T10-16%-9,3.46E+03,1.73E+04
A,CS,16%,2698B,24,0.5,100,T24-16%-5,3.84E+03,1.92E+05
A,CS,16%,2698B,8,0.5,10,T8-16%-5,3.94E+03,1.97E+04
A,CS,2%,2698B,10,0.5,10,T10-2%-1,4.02E+03,2.01E+04
A,CS,16%,2698B,6,0.5,10,T6-16%-10,4.08E+03,2.04E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-7,4.32E+03,2.16E+04
A,CS,2%,2698B,10,0.5,10,T10-2%-8,5.77E+03,2.89E+04
A,CS,16%,2698B,10,0.5,10,T10-16%-11,5.77E+03,2.89E+04
A,CS,2%,2698B,10,0.5,10,T10-2%-6,5.83E+03,2.92E+04
A,CS,16%,2698B,10,0.5,10,T10-16%-5,5.87E+03,2.94E+04
A,CS,2%,2698B,10,0.5,10,T10-2%-11,6.23E+03,3.12E+04
A,CS,16%,2698B,2,0.5,1,T2-16%-3,6.40E+03,3.20E+03
A,CS,16%,2698B,10,0.5,10,T10-16%-7,6.77E+03,3.39E+04
A,CS,2%,2698B,6,0.5,10,T6-2%-2,7.03E+03,3.52E+04
A,CS,2%,2698B,4,0.5,1,T4-2%-9,7.07E+03,3.54E+03
A,CS,2%,2698B,2,0.5,1,T2-2%-6,7.17E+03,3.59E+03
A,CS,16%,2698B,8,0.5,10,T8-16%-12,7.40E+03,3.70E+04
A,CS,16%,2698B,24,0.5,100,T24-16%-9,7.47E+03,3.74E+05
A,CS,2%,2698B,16,0.5,100,T16-2%-4,7.90E+03,3.95E+05
A,CS,2%,2698B,14,0.5,100,T14-2%-4,8.03E+03,4.02E+05
A,CS,16%,2698B,2,0.5,1,T2-16%-5,8.20E+03,4.10E+03
A,CS,2%,2698B,48,0.5,100,T48-2%-5,8.60E+03,4.30E+05
A,CS,16%,2698B,0,0.5,1,T0-16%-4,9.03E+03,4.52E+03
A,CS,16%,2698B,2,0.5,1,T2-16%-10,9.19E+03,4.60E+03
A,CS,16%,2698B,2,0.5,1,T2-16%-6,9.79E+03,4.90E+03
A,CS,16%,2698B,2,0.5,1,T2-16%-11,9.85E+03,4.93E+03
A,CS,2%,2698B,10,0.5,10,T10-2%-3,9.90E+03,4.95E+04
A,CS,2%,2698B,0,0.5,1,T0-2%-3,1.03E+04,5.15E+03
A,CS,16%,2698B,0,0.5,1,T0-16%-8,1.03E+04,5.15E+03
A,CS,16%,2698B,2,0.5,1,T2-16%-2,1.03E+04,5.15E+03
A,CS,16%,2698B,0,0.5,1,T0-16%-2,1.06E+04,5.30E+03
A,CS,16%,2698B,0,0.5,1,T0-16%-1,1.08E+04,5.40E+03
A,CS,16%,2698B,0,0.5,1,T0-16%-10,1.08E+04,5.40E+03
A,CS,16%,2698B,0,0.5,1,T0-16%-9,1.09E+04,5.45E+03
A,CS,16%,2698B,0,0.5,1,T0-16%-6,1.10E+04,5.50E+03
A,CS,16%,2698B,2,0.5,1,T2-16%-8,1.11E+04,5.55E+03
A,CS,2%,2698B,0,0.5,1,T0-2%-4,1.14E+04,5.70E+03
A,CS,16%,2698B,6,0.5,10,T6-16%-2,1.17E+04,5.85E+04
A,CS,16%,2698B,2,0.5,1,T2-16%-7,1.21E+04,6.05E+03
A,CS,2%,2698B,0,0.5,1,T0-2%-10,1.22E+04,6.10E+03
A,CS,2%,2698B,4,0.5,1,T4-2%-10,1.22E+04,6.10E+03
A,CS,2%,2698B,0,0.5,1,T0-2%-6,1.23E+04,6.15E+03
A,CS,2%,2698B,0,0.5,1,T0-2%-1,1.23E+04,6.15E+03
A,CS,16%,2698B,2,0.5,1,T2-16%-12,1.24E+04,6.20E+03
A,CS,2%,2698B,0,0.5,1,T0-2%-5,1.25E+04,6.25E+03
A,CS,2%,2698B,0,0.5,1,T0-2%-2,1.28E+04,6.40E+03
A,CS,2%,2698B,0,0.5,1,T0-2%-8,1.29E+04,6.45E+03
A,CS,16%,2698B,2,0.5,1,T2-16%-9,1.29E+04,6.45E+03
A,CS,2%,2698B,2,0.5,1,T2-2%-1,1.30E+04,6.50E+03
A,CS,16%,2698B,2,0.5,1,T2-16%-4,1.30E+04,6.50E+03
A,CS,16%,2698B,0,0.5,1,T0-16%-5,1.35E+04,6.75E+03
A,CS,16%,2698B,0,0.5,1,T0-16%-3,1.37E+04,6.85E+03
A,CS,16%,2698B,10,0.5,10,T10-16%-6,1.38E+04,6.90E+04
A,CS,16%,2698B,2,0.5,1,T2-16%-1,1.52E+04,7.60E+03
A,CS,2%,2698B,4,0.5,1,T4-2%-11,1.53E+04,7.65E+03
A,CS,2%,2698B,0,0.5,1,T0-2%-9,1.55E+04,7.75E+03
A,CS,2%,2698B,0,0.5,1,T0-2%-7,1.57E+04,7.85E+03
A,CS,2%,2698B,2,0.5,1,T2-2%-2,1.57E+04,7.85E+03
A,CS,2%,2698B,4,0.5,1,T4-2%-5,1.59E+04,7.95E+03
A,CS,2%,2698B,2,0.5,1,T2-2%-10,1.67E+04,8.35E+03
A,CS,2%,2698B,2,0.5,1,T2-2%-3,1.69E+04,8.45E+03
A,CS,2%,2698B,4,0.5,1,T4-2%-1,1.69E+04,8.45E+03
A,CS,2%,2698B,4,0.5,1,T4-2%-3,1.75E+04,8.75E+03
A,CS,16%,2698B,4,0.5,1,T4-16%-1,1.83E+04,9.15E+03
A,CS,2%,2698B,2,0.5,1,T2-2%-8,1.83E+04,9.15E+03
A,CS,2%,2698B,4,0.5,1,T4-2%-8,1.90E+04,9.50E+03
A,CS,2%,2698B,4,0.5,1,T4-2%-12,1.97E+04,9.85E+03
A,CS,2%,2698B,2,0.5,1,T2-2%-11,2.03E+04,1.02E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-7,2.04E+04,1.02E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-10,2.05E+04,1.03E+04
A,CS,2%,2698B,2,0.5,1,T2-2%-7,2.05E+04,1.03E+04
A,CS,2%,2698B,2,0.5,1,T2-2%-9,2.06E+04,1.03E+04
A,CS,2%,2698B,4,0.5,1,T4-2%-6,2.06E+04,1.03E+04
A,CS,2%,2698B,2,0.5,1,T2-2%-4,2.08E+04,1.04E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-11,2.09E+04,1.05E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-9,2.21E+04,1.11E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-8,2.30E+04,1.15E+04
A,CS,2%,2698B,4,0.5,1,T4-2%-7,2.32E+04,1.16E+04
A,CS,2%,2698B,2,0.5,1,T2-2%-5,2.36E+04,1.18E+04
A,CS,2%,2698B,2,0.5,1,T2-2%-12,2.51E+04,1.26E+04
A,CS,2%,2698B,4,0.5,1,T4-2%-4,2.70E+04,1.35E+04
A,CS,2%,2698B,4,0.5,1,T4-2%-2,3.03E+04,1.52E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-12,3.12E+04,1.56E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-3,3.14E+04,1.57E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-5,3.28E+04,1.64E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-4,3.36E+04,1.68E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-2,3.47E+04,1.74E+04
A,CS,16%,2698B,4,0.5,1,T4-16%-6,3.69E+04,1.85E+04
B,CS,16%,2698B,8,0.5,10,T8-16%-2,1.60E+02,8.00E+02
B,CS,2%,2698B,16,0.5,10,T16-2%-3,2.20E+02,1.10E+03
B,CS,16%,2698B,8,0.5,10,T8-16%-10,3.00E+02,1.50E+03
B,CS,2%,2698B,6,0.5,10,T6-2%-12,3.20E+02,1.60E+03
B,CS,2%,2698B,8,0.5,10,T8-2%-7,3.40E+02,1.70E+03
B,CS,2%,2698B,8,0.5,10,T8-2%-5,3.60E+02,1.80E+03
B,CS,2%,2698B,8,0.5,10,T8-2%-9,3.80E+02,1.90E+03
B,CS,2%,2698B,6,0.5,10,T6-2%-6,4.60E+02,2.30E+03
B,CS,16%,2698B,8,0.5,10,T8-16%-6,4.60E+02,2.30E+03
B,CS,16%,2698B,48,0.5,10,T48-16%-3,5.20E+02,2.60E+03
B,CS,2%,2698B,6,0.5,10,T6-2%-10,6.20E+02,3.10E+03
B,CS,16%,2698B,8,0.5,10,T8-16%-1,6.60E+02,3.30E+03
B,CS,2%,2698B,6,0.5,10,T6-2%-8,7.40E+02,3.70E+03
B,CS,2%,2698B,6,0.5,10,T6-2%-3,7.60E+02,3.80E+03
B,CS,16%,2698B,8,0.5,10,T8-16%-3,8.60E+02,4.30E+03
B,CS,16%,2698B,10,0.5,10,T10-16%-3,8.60E+02,4.30E+03
B,CS,16%,2698B,6,0.5,10,T6-16%-11,9.60E+02,4.80E+03
B,CS,2%,2698B,10,0.5,10,T10-%-2,9.60E+02,4.80E+03
B,CS,16%,2698B,8,0.5,10,T8-16%-4,1.02E+03,5.10E+03
B,CS,2%,2698B,48,0.5,10,T48-2%-1,1.04E+03,5.20E+03
B,CS,2%,2698B,6,0.5,10,T6-2%-1,1.10E+03,5.50E+03
B,CS,2%,2698B,8,0.5,10,T8-2%-2,1.18E+03,5.90E+03
B,CS,2%,2698B,6,0.5,10,T6-2%-5,1.20E+03,6.00E+03
B,CS,2%,2698B,10,0.5,10,T10-%-8,1.22E+03,6.10E+03
B,CS,2%,2698B,10,0.5,10,T10-%-9,1.22E+03,6.10E+03
B,CS,2%,2698B,16,0.5,10,T16-2%-9,1.28E+03,6.40E+03
B,CS,2%,2698B,8,0.5,10,T8-2%-1,1.30E+03,6.50E+03
B,CS,2%,2698B,48,0.5,10,T48-2%-2,1.30E+03,6.50E+03
B,CS,16%,2698B,6,0.5,10,T6-16%-5,1.32E+03,6.60E+03
B,CS,16%,2698B,8,0.5,10,T8-16%-7,1.34E+03,6.70E+03
B,CS,2%,2698B,8,0.5,10,T8-2%-3,1.44E+03,7.20E+03
B,CS,16%,2698B,10,0.5,10,T10-16%-1,1.50E+03,7.50E+03
B,CS,2%,2698B,14,0.5,10,T14-2%-6,1.52E+03,7.60E+03
B,CS,2%,2698B,8,0.5,10,T8-2%-8,1.54E+03,7.70E+03
B,CS,16%,2698B,6,0.5,10,T6-16%-4,1.80E+03,9.00E+03
B,CS,2%,2698B,6,0.5,10,T6-2%-7,1.82E+03,9.10E+03
B,CS,2%,2698B,14,0.5,10,T14-2%-8,1.84E+03,9.20E+03
B,CS,2%,2698B,12,0.5,10,T12-2%-8,1.90E+03,9.50E+03
B,CS,2%,2698B,8,0.5,10,T8-2%-6,1.92E+03,9.60E+03
B,CS,2%,2698B,6,0.5,10,T6-2%-9,1.94E+03,9.70E+03
B,CS,16%,2698B,6,0.5,10,T6-16%-10,2.00E+03,1.00E+04
B,CS,16%,2698B,48,0.5,10,T48-16%-4,2.00E+03,1.00E+04
B,CS,2%,2698B,24,0.5,10,T24-2%-8,2.02E+03,1.01E+04
B,CS,2%,2698B,24,0.5,10,T24-2%-6,2.06E+03,1.03E+04
B,CS,16%,2698B,6,0.5,10,T6-16%-3,2.10E+03,1.05E+04
B,CS,2%,2698B,14,0.5,10,T14-2%-9,2.10E+03,1.05E+04
B,CS,2%,2698B,10,0.5,10,T10-%-7,2.12E+03,1.06E+04
B,CS,16%,2698B,8,0.5,10,T8-16%-8,2.14E+03,1.07E+04
B,CS,2%,2698B,10,0.5,10,T10-%-6,2.14E+03,1.07E+04
B,CS,2%,2698B,36,0.5,10,T36-2%-2,2.22E+03,1.11E+04
B,CS,2%,2698B,12,0.5,10,T12-2%-5,2.26E+03,1.13E+04
